institution,ordinal_score_horizontal,Advocacy and Communication_WithinIGO,cross_border_initiatives_within_igo,cross_sectoral_collaboration_within_igo,inter_agency_technical_cooperation_within_igo,Joint Research and Projects_WithinIGO,multi_stakeholder_platforms_within_igo,Peer-to-peer Learning Mechanisms_WithinIGO,regional_economic_community_coordination_within_igo,shared_monitoring_frameworks_within_igo,thematic_working_groups_within_igo,Advocacy and Communication_AcrossIGO,cross_border_initiatives_across_igo,cross_sectoral_collaboration_across_igo,inter_agency_technical_cooperation_across_igo,Joint Research and Projects_AcrossIGO,multi_stakeholder_platforms_across_igo,Peer-to-peer Learning Mechanisms_AcrossIGO,regional_economic_community_coordination_across_igo,shared_monitoring_frameworks_across_igo,thematic_working_groups_across_igo
Intergovernmental Oceanographic Commission (IOC),6,10,0.0,2.5,2.5,0,2.5,0.0,0.0,2.5,2.5,6.666666666666666,0.0,1.666666666666667,1.666666666666667,0.0,1.666666666666667,0.0,0.0,1.666666666666667,1.666666666666667
Food and Agriculture Organization of the United Nations (FAO),6,10,0.0,3.333333333333333,3.333333333333333,0,3.333333333333333,0.0,0.0,3.333333333333333,3.333333333333333,5.0,0.0,1.666666666666667,1.666666666666667,0.0,1.666666666666667,0.0,0.0,1.666666666666667,1.666666666666667
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,6,10,0.0,2.5,2.5,0,2.5,0.0,2.5,0.0,2.5,6.666666666666666,0.0,1.666666666666667,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),7,10,0.0,2.5,7.5,0,2.5,2.5,2.5,0.0,2.5,6.666666666666666,0.0,1.666666666666667,5.0,0.0,1.666666666666667,1.666666666666667,1.666666666666667,0.0,1.666666666666667
Climate Change Secretariat,4,10,0.0,5.0,0.0,0,0.0,0.0,0.0,5.0,5.0,3.333333333333333,0.0,1.666666666666667,0.0,0.0,0.0,0.0,0.0,1.666666666666667,1.666666666666667
International Seabed Authority,3,10,0.0,10.0,0.0,0,0.0,0.0,10.0,0.0,0.0,1.666666666666667,0.0,1.666666666666667,0.0,0.0,0.0,0.0,1.666666666666667,0.0,0.0
United Nations Environment Programme (UNEP),6,10,0.0,10.0,10.0,0,10.0,0.0,0.0,10.0,10.0,1.666666666666667,0.0,1.666666666666667,1.666666666666667,0.0,1.666666666666667,0.0,0.0,1.666666666666667,1.666666666666667
United Nations Development Programme (UNDP),5,10,0.0,2.5,0.0,0,2.5,0.0,2.5,0.0,2.5,6.666666666666666,0.0,1.666666666666667,0.0,0.0,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667
United Nations Conference on Trade and Development (UNCTAD),4,10,0.0,10.0,0.0,0,10.0,0.0,0.0,0.0,10.0,1.666666666666667,0.0,1.666666666666667,0.0,0.0,1.666666666666667,0.0,0.0,0.0,1.666666666666667
"United Nations Industrial Development Organization (UNIDO),",4,10,0.0,10.0,0.0,0,10.0,0.0,0.0,0.0,10.0,1.666666666666667,0.0,1.666666666666667,0.0,0.0,1.666666666666667,0.0,0.0,0.0,1.666666666666667
International Labour Organization (ILO),6,10,0.0,10.0,10.0,0,10.0,0.0,0.0,10.0,10.0,1.666666666666667,0.0,1.666666666666667,1.666666666666667,0.0,1.666666666666667,0.0,0.0,1.666666666666667,1.666666666666667
 International Telecommunication Union (ITU),4,10,0.0,10.0,0.0,0,10.0,0.0,0.0,0.0,10.0,1.666666666666667,0.0,1.666666666666667,0.0,0.0,1.666666666666667,0.0,0.0,0.0,1.666666666666667
United Nations Children’s Fund (UNICEF) ,6,10,0.0,2.5,2.5,0,2.5,0.0,2.5,0.0,2.5,6.666666666666666,0.0,1.666666666666667,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667
World Health Organization (WHO) ,7,10,0.0,2.0,4.0,0,2.0,0.0,2.0,2.0,2.0,8.333333333333334,0.0,1.666666666666667,3.333333333333333,0.0,1.666666666666667,0.0,1.666666666666667,1.666666666666667,1.666666666666667
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",5,10,0.0,0.0,2.5,0,2.5,0.0,2.5,2.5,0.0,6.666666666666666,0.0,0.0,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667,1.666666666666667,0.0
United Nations Office for Disaster Risk Reduction (UNDRR),5,10,0.0,2.5,0.0,0,2.5,0.0,0.0,2.5,2.5,6.666666666666666,0.0,1.666666666666667,0.0,0.0,1.666666666666667,0.0,0.0,1.666666666666667,1.666666666666667
UN Global Compact Office,6,10,0.0,2.0,0.0,0,2.0,0.0,2.0,2.0,2.0,8.333333333333334,0.0,1.666666666666667,0.0,0.0,1.666666666666667,0.0,1.666666666666667,1.666666666666667,1.666666666666667
International Atomic Energy Agency (IAEA),6,10,0.0,2.5,2.5,0,2.5,0.0,2.5,0.0,2.5,6.666666666666666,0.0,1.666666666666667,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667
World Meteorological Organization (WMO),5,10,0.0,0.0,2.5,0,2.5,0.0,2.5,0.0,2.5,6.666666666666666,0.0,0.0,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667
Organisation for Economic Co-operation and Development (OECD),4,10,0.0,2.5,0.0,0,2.5,0.0,0.0,0.0,2.5,6.666666666666666,0.0,1.666666666666667,0.0,0.0,1.666666666666667,0.0,0.0,0.0,1.666666666666667
 World Bank Group (WBG) ,5,10,0.0,2.5,0.0,0,2.5,0.0,0.0,2.5,2.5,6.666666666666666,0.0,1.666666666666667,0.0,0.0,1.666666666666667,0.0,0.0,1.666666666666667,1.666666666666667
International Monetary Fund (IMF),4,10,0.0,0.0,10.0,0,0.0,0.0,0.0,5.0,5.0,3.333333333333333,0.0,0.0,3.333333333333333,0.0,0.0,0.0,0.0,1.666666666666667,1.666666666666667
International Hydrographic Organization (IHO) ,7,10,0.0,2.5,2.5,0,2.5,0.0,2.5,2.5,2.5,6.666666666666666,0.0,1.666666666666667,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667,1.666666666666667,1.666666666666667
 International Council for the Exploration of the Sea (ICES),5,10,0.0,2.5,0.0,0,2.5,0.0,2.5,0.0,2.5,6.666666666666666,0.0,1.666666666666667,0.0,0.0,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),6,10,0.0,0.0,2.0,0,2.0,0.0,2.0,2.0,2.0,8.333333333333334,0.0,0.0,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667,1.666666666666667,1.666666666666667
IPCC,5,10,0.0,1.666666666666667,0.0,0,0.0,0.0,1.666666666666667,1.666666666666667,1.666666666666667,10.0,0.0,1.666666666666667,0.0,0.0,0.0,0.0,1.666666666666667,1.666666666666667,1.666666666666667
World Trade Organization (WTO) ,5,10,0.0,2.5,0.0,0,2.5,0.0,0.0,2.5,2.5,6.666666666666666,0.0,1.666666666666667,0.0,0.0,1.666666666666667,0.0,0.0,1.666666666666667,1.666666666666667
"International Organization for Migration (IOM)

",4,10,0.0,0.0,0.0,0,2.5,0.0,0.0,2.5,2.5,6.666666666666666,0.0,0.0,0.0,0.0,1.666666666666667,0.0,0.0,1.666666666666667,1.666666666666667
United Nations Office for Project Services (UNOPS),4,10,0.0,5.0,0.0,0,5.0,0.0,2.5,0.0,0.0,6.666666666666666,0.0,3.333333333333333,0.0,0.0,3.333333333333333,0.0,1.666666666666667,0.0,0.0
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),6,10,0.0,0.0,0.0,0,2.0,4.0,2.0,2.0,2.0,8.333333333333334,0.0,0.0,0.0,0.0,1.666666666666667,3.333333333333333,1.666666666666667,1.666666666666667,1.666666666666667
World Intellectual Property Organisation (WIPO),5,10,0.0,2.0,4.0,0,2.0,0.0,0.0,0.0,2.0,8.333333333333334,0.0,1.666666666666667,3.333333333333333,0.0,1.666666666666667,0.0,0.0,0.0,1.666666666666667
UN Population Fund (UNFPA),5,10,0.0,0.0,2.5,0,2.5,0.0,5.0,0.0,2.5,6.666666666666666,0.0,0.0,1.666666666666667,0.0,1.666666666666667,0.0,3.333333333333333,0.0,1.666666666666667
United Nations Human Settlements Programme (UN-Habitat),5,10,2.5,2.5,0.0,0,2.5,0.0,0.0,0.0,2.5,6.666666666666666,1.666666666666667,1.666666666666667,0.0,0.0,1.666666666666667,0.0,0.0,0.0,1.666666666666667
World Food Programme (WFP),5,10,0.0,0.0,2.5,0,2.5,0.0,2.5,0.0,2.5,6.666666666666666,0.0,0.0,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667
World Tourism Organization/UN Tourism (UNWTO),6,10,0.0,2.5,5.0,0,2.5,0.0,2.5,0.0,2.5,6.666666666666666,0.0,1.666666666666667,3.333333333333333,0.0,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667
UN Research Institute for Social Development (UNRISD),7,10,0.0,2.5,7.5,5,2.5,0.0,2.5,0.0,2.5,6.666666666666666,0.0,1.666666666666667,5.0,3.333333333333333,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)


",6,10,0.0,2.5,2.5,0,2.5,0.0,2.5,0.0,2.5,6.666666666666666,0.0,1.666666666666667,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667
"Secretariat of the Convention on Biological Diversity (CBD)

",4,10,0.0,0.0,0.0,0,2.5,0.0,2.5,0.0,2.5,6.666666666666666,0.0,0.0,0.0,0.0,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667
"
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES)

",5,10,0.0,2.5,0.0,0,2.5,0.0,0.0,2.5,2.5,6.666666666666666,0.0,1.666666666666667,0.0,0.0,1.666666666666667,0.0,0.0,1.666666666666667,1.666666666666667
"
Secretariat of the Convention on Migratory Species (CMS)",6,10,0.0,2.0,0.0,0,2.0,0.0,2.0,2.0,2.0,8.333333333333334,0.0,1.666666666666667,0.0,0.0,1.666666666666667,0.0,1.666666666666667,1.666666666666667,1.666666666666667
International Fund for Agricultural Development (IFAD),4,10,0.0,0.0,0.0,0,2.5,0.0,2.5,0.0,2.5,6.666666666666666,0.0,0.0,0.0,0.0,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667
"
International Trade Centre (ITC)",7,10,0.0,2.5,2.5,0,2.5,0.0,2.5,2.5,2.5,6.666666666666666,0.0,1.666666666666667,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667,1.666666666666667,1.666666666666667
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),6,10,0.0,0.0,2.5,0,2.5,0.0,2.5,2.5,2.5,6.666666666666666,0.0,0.0,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667,1.666666666666667,1.666666666666667
United Nations University (UNU),5,10,0.0,2.5,0.0,5,2.5,0.0,2.5,0.0,0.0,6.666666666666666,0.0,1.666666666666667,0.0,3.333333333333333,1.666666666666667,0.0,1.666666666666667,0.0,0.0
Ramsar Convention on Wetlands Secretariat (Ramsar) ,5,10,0.0,0.0,0.0,0,2.5,0.0,2.5,2.5,2.5,6.666666666666666,0.0,0.0,0.0,0.0,1.666666666666667,0.0,1.666666666666667,1.666666666666667,1.666666666666667
Minamata Convention on Mercury (Minamata),4,10,0.0,2.5,0.0,0,2.5,0.0,0.0,0.0,2.5,6.666666666666666,0.0,1.666666666666667,0.0,0.0,1.666666666666667,0.0,0.0,0.0,1.666666666666667
United Nations Office for Outer Space Affairs (UNOOSA),7,10,0.0,2.0,2.0,0,2.0,0.0,2.0,2.0,2.0,8.333333333333334,0.0,1.666666666666667,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667,1.666666666666667,1.666666666666667
United Nations Office on Drugs and Crime (UNODC),5,10,0.0,2.5,5.0,0,2.5,0.0,0.0,0.0,2.5,6.666666666666666,0.0,1.666666666666667,3.333333333333333,0.0,1.666666666666667,0.0,0.0,0.0,1.666666666666667
