institution,ordinal_score_sources,bilateral_or_multilateral_arrangements_within_igo,binding_secondary_law_within_igo,Compliance & Oversight_WithinIGO,Customary & Soft Law_WithinIGO,Delegated or Derived Powers_WithinIGO,Foundational Treaties & Charters_WithinIGO,Non-binding Secondary Law_WithinIGO,Other Governance Instruments_WithinIGO,Strategic Frameworks_WithinIGO,technical_norms_and_standards_within_igo,bilateral_or_multilateral_arrangements_across_igo,binding_secondary_law_across_igo,Compliance & Oversight_AcrossIGO,Customary & Soft Law_AcrossIGO,Delegated or Derived Powers_AcrossIGO,Foundational Treaties & Charters_AcrossIGO,Non-binding Secondary Law_AcrossIGO,Other Governance Instruments_AcrossIGO,Strategic Frameworks_AcrossIGO,technical_norms_and_standards_across_igo
Intergovernmental Oceanographic Commission (IOC),4,0.0,7.0,0.0,0,5.0,10.0,6.0,0,0,0.0,0.0,5.83333333333333,0.0,0,4.166666666666667,8.333333333333334,5.0,0,0,0.0
Food and Agriculture Organization of the United Nations (FAO),3,4.0,0.0,0.0,0,5.0,10.0,0.0,0,0,0.0,3.333333333333333,0.0,0.0,0,4.166666666666667,8.333333333333334,0.0,0,0,0.0
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,4,0.0,10.0,0.0,0,0.0,10.0,5.555555555555555,0,0,7.777777777777778,0.0,7.5,0.0,0,0.0,7.5,4.166666666666667,0,0,5.833333333333334
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),3,5.0,0.0,7.5,0,0.0,10.0,0.0,0,0,0.0,3.333333333333333,0.0,5.0,0,0.0,6.666666666666666,0.0,0,0,0.0
Climate Change Secretariat,2,5.0,0.0,0.0,0,0.0,10.0,0.0,0,0,0.0,3.333333333333333,0.0,0.0,0,0.0,6.666666666666666,0.0,0,0,0.0
International Seabed Authority,2,5.0,0.0,0.0,0,0.0,10.0,0.0,0,0,0.0,3.333333333333333,0.0,0.0,0,0.0,6.666666666666666,0.0,0,0,0.0
United Nations Environment Programme (UNEP),4,5.0,0.0,0.0,0,6.25,10.0,7.5,0,0,0.0,3.333333333333333,0.0,0.0,0,4.166666666666667,6.666666666666666,5.0,0,0,0.0
United Nations Development Programme (UNDP),3,0.0,10.0,8.88888888888889,0,0.0,0.0,6.666666666666666,0,0,0.0,0.0,7.5,6.666666666666666,0,0.0,0.0,5.0,0,0,0.0
United Nations Conference on Trade and Development (UNCTAD),1,0.0,0.0,0.0,0,0.0,0.0,10.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.166666666666667,0,0,0.0
"United Nations Industrial Development Organization (UNIDO),",2,0.0,0.0,0.0,0,0.0,10.0,5.555555555555555,0,0,0.0,0.0,0.0,0.0,0,0.0,7.5,4.166666666666667,0,0,0.0
