institution,year_founded,igo_age,founding_era_category,founding_density_5yr,cumulative_stock
Intergovernmental Oceanographic Commission (IOC),1960,65,Post-WWII Boom (1946-1960),4,16
Food and Agriculture Organization of the United Nations (FAO),1945,80,Early 20th Century (1900-1945),5,7
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,1948,77,Post-WWII Boom (1946-1960),4,11
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),1992,33,Post-Cold War (1991-2000),7,36
Climate Change Secretariat,1992,33,Post-Cold War (1991-2000),7,36
International Seabed Authority,1994,31,Post-Cold War (1991-2000),8,40
United Nations Environment Programme (UNEP),1972,53,Cold War Era II (1971-1980),4,28
United Nations Development Programme (UNDP),1965,60,Cold War Era I (1961-1970),7,22
United Nations Conference on Trade and Development (UNCTAD),1964,61,Cold War Era I (1961-1970),5,21
"United Nations Industrial Development Organization (UNIDO),",1966,59,Cold War Era I (1961-1970),6,23
International Labour Organization (ILO),1919,106,Early 20th Century (1900-1945),2,3
 International Telecommunication Union (ITU),1865,160,Early Founding Years (Pre-1900),1,1
United Nations Children’s Fund (UNICEF) ,1953,72,Post-WWII Boom (1946-1960),2,13
World Health Organization (WHO) ,1948,77,Post-WWII Boom (1946-1960),4,11
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",1993,32,Post-Cold War (1991-2000),8,37
United Nations Office for Disaster Risk Reduction (UNDRR),1999,26,Post-Cold War (1991-2000),3,43
UN Global Compact Office,2000,25,Post-Cold War (1991-2000),2,44
International Atomic Energy Agency (IAEA),1957,68,Post-WWII Boom (1946-1960),2,14
World Meteorological Organization (WMO),1947,78,Post-WWII Boom (1946-1960),5,9
Organisation for Economic Co-operation and Development (OECD),1961,64,Cold War Era I (1961-1970),4,18
 World Bank Group (WBG) ,1944,81,Early 20th Century (1900-1945),4,6
International Monetary Fund (IMF),1944,81,Early 20th Century (1900-1945),4,6
International Hydrographic Organization (IHO) ,1921,104,Early 20th Century (1900-1945),2,4
 International Council for the Exploration of the Sea (ICES),1902,123,Early 20th Century (1900-1945),1,2
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),2012,13,SDG & Climate Action Era (2011-2020),4,47
IPCC,1988,37,Late Cold War (1981-1990),1,33
World Trade Organization (WTO) ,1995,30,Post-Cold War (1991-2000),6,41
"International Organization for Migration (IOM)

",1951,74,Post-WWII Boom (1946-1960),2,12
United Nations Office for Project Services (UNOPS),1994,31,Post-Cold War (1991-2000),8,40
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),2010,15,Globalisation Era (2001-2010),3,45
World Intellectual Property Organisation (WIPO),1967,58,Cold War Era I (1961-1970),4,25
UN Population Fund (UNFPA),1967,58,Cold War Era I (1961-1970),4,25
United Nations Human Settlements Programme (UN-Habitat),1977,48,Cold War Era II (1971-1980),2,31
World Food Programme (WFP),1961,64,Cold War Era I (1961-1970),4,18
World Tourism Organization/UN Tourism (UNWTO),1946,79,Post-WWII Boom (1946-1960),7,8
UN Research Institute for Social Development (UNRISD),1963,62,Cold War Era I (1961-1970),6,19
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)


",2012,13,SDG & Climate Action Era (2011-2020),4,47
"Secretariat of the Convention on Biological Diversity (CBD)

",1992,33,Post-Cold War (1991-2000),7,36
"
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES)

",1973,52,Cold War Era II (1971-1980),4,29
"
Secretariat of the Convention on Migratory Species (CMS)",1983,42,Late Cold War (1981-1990),1,32
International Fund for Agricultural Development (IFAD),1976,49,Cold War Era II (1971-1980),2,30
"
International Trade Centre (ITC)",1964,61,Cold War Era I (1961-1970),5,21
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),1994,31,Post-Cold War (1991-2000),8,40
United Nations University (UNU),1972,53,Cold War Era II (1971-1980),4,28
Ramsar Convention on Wetlands Secretariat (Ramsar) ,1971,54,Cold War Era II (1971-1980),4,26
Minamata Convention on Mercury (Minamata),2013,12,SDG & Climate Action Era (2011-2020),3,48
United Nations Office for Outer Space Affairs (UNOOSA),1958,67,Post-WWII Boom (1946-1960),3,15
United Nations Office on Drugs and Crime (UNODC),1997,28,Post-Cold War (1991-2000),3,42
