Year_cleaned,Founding_Era_Category,FoundingDensity_5yr,CumulativeStock
,,,
1960.0,Post-WWII Boom (1946-1960),4.0,16.0
1945.0,Early 20th Century (1900-1945),5.0,7.0
1948.0,Post-WWII Boom (1946-1960),4.0,11.0
1992.0,Post-Cold War (1991-2000),7.0,36.0
1992.0,Post-Cold War (1991-2000),7.0,36.0
1994.0,Post-Cold War (1991-2000),8.0,40.0
1972.0,Cold War Era II (1971-1980),4.0,28.0
1965.0,Cold War Era I (1961-1970),7.0,22.0
1964.0,Cold War Era I (1961-1970),5.0,21.0
1966.0,Cold War Era I (1961-1970),6.0,23.0
1919.0,Early 20th Century (1900-1945),2.0,3.0
1865.0,Early Founding Years (Pre-1900),1.0,1.0
1953.0,Post-WWII Boom (1946-1960),2.0,13.0
1948.0,Post-WWII Boom (1946-1960),4.0,11.0
1993.0,Post-Cold War (1991-2000),8.0,37.0
1999.0,Post-Cold War (1991-2000),3.0,43.0
2000.0,Post-Cold War (1991-2000),2.0,44.0
1957.0,Post-WWII Boom (1946-1960),2.0,14.0
1947.0,Post-WWII Boom (1946-1960),5.0,9.0
1961.0,Cold War Era I (1961-1970),4.0,18.0
1944.0,Early 20th Century (1900-1945),4.0,6.0
1944.0,Early 20th Century (1900-1945),4.0,6.0
1921.0,Early 20th Century (1900-1945),2.0,4.0
1902.0,Early 20th Century (1900-1945),1.0,2.0
2012.0,SDG & Climate Action Era (2011-2020),4.0,47.0
1988.0,Late Cold War (1981-1990),1.0,33.0
1995.0,Post-Cold War (1991-2000),6.0,41.0
1951.0,Post-WWII Boom (1946-1960),2.0,12.0
1994.0,Post-Cold War (1991-2000),8.0,40.0
2010.0,Globalisation Era (2001-2010),3.0,45.0
1967.0,Cold War Era I (1961-1970),4.0,25.0
1967.0,Cold War Era I (1961-1970),4.0,25.0
1977.0,Cold War Era II (1971-1980),2.0,31.0
1961.0,Cold War Era I (1961-1970),4.0,18.0
1946.0,Post-WWII Boom (1946-1960),7.0,8.0
1963.0,Cold War Era I (1961-1970),6.0,19.0
2012.0,SDG & Climate Action Era (2011-2020),4.0,47.0
1992.0,Post-Cold War (1991-2000),7.0,36.0
1973.0,Cold War Era II (1971-1980),4.0,29.0
1983.0,Late Cold War (1981-1990),1.0,32.0
1976.0,Cold War Era II (1971-1980),2.0,30.0
1964.0,Cold War Era I (1961-1970),5.0,21.0
1994.0,Post-Cold War (1991-2000),8.0,40.0
1972.0,Cold War Era II (1971-1980),4.0,28.0
1971.0,Cold War Era II (1971-1980),4.0,26.0
2013.0,SDG & Climate Action Era (2011-2020),3.0,48.0
1958.0,Post-WWII Boom (1946-1960),3.0,15.0
1997.0,Post-Cold War (1991-2000),3.0,42.0
