IGO,degree,strength,eigenvector,betweenness,community,rank_eigenvector,similarity_metric,edge_threshold_quantile,edge_threshold_value
Intergovernmental Oceanographic Commission (IOC),13,11.513701921002417,1.0,0.08973172987974098,2,1,cosine,0.9,0.8605916816926672
Food and Agriculture Organization of the United Nations (FAO),4,3.5324635300813556,0.3290565462940252,0.016651248843663275,1,19,cosine,0.9,0.8605916816926672
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,10,8.887449455545267,0.6631651846046804,0.06753006475485662,1,8,cosine,0.9,0.8605916816926672
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),0,0.0,0.0,0.0,5,43,cosine,0.9,0.8605916816926672
Climate Change Secretariat,7,6.186875132783906,0.4474110677896333,0.02590194264569843,3,17,cosine,0.9,0.8605916816926672
International Seabed Authority,3,2.6147657251582537,0.1641277271778156,0.01387604070305273,3,26,cosine,0.9,0.8605916816926672
United Nations Environment Programme (UNEP),8,7.132033201108451,0.5182828562168865,0.07678075855689177,3,16,cosine,0.9,0.8605916816926672
United Nations Development Programme (UNDP),4,3.543622041745641,0.019469435307502135,0.037927844588344126,4,37,cosine,0.9,0.8605916816926672
United Nations Conference on Trade and Development (UNCTAD),2,1.7381782197714988,0.03249037741722067,0.002775208140610546,3,36,cosine,0.9,0.8605916816926672
"United Nations Industrial Development Organization (UNIDO),",4,3.622461590447978,0.11379477260496856,0.0240518038852914,3,30,cosine,0.9,0.8605916816926672
International Labour Organization (ILO),5,4.474691184649607,0.22062147593769899,0.01572617946345976,3,23,cosine,0.9,0.8605916816926672
 International Telecommunication Union (ITU),4,3.5995784852541277,0.15689232482618193,0.004625346901017576,3,27,cosine,0.9,0.8605916816926672
United Nations Children’s Fund (UNICEF) ,13,11.523409349077797,0.985532809921904,0.2784458834412581,1,2,cosine,0.9,0.8605916816926672
World Health Organization (WHO) ,11,9.806149847676567,0.8313445188526842,0.11563367252543941,2,4,cosine,0.9,0.8605916816926672
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",1,0.867457149963051,0.07281095647790617,0.0,2,32,cosine,0.9,0.8605916816926672
United Nations Office for Disaster Risk Reduction (UNDRR),5,4.377552784129745,0.2989520162295642,0.03700277520814061,1,20,cosine,0.9,0.8605916816926672
UN Global Compact Office,1,0.8617641709916801,0.002255054883412856,0.0,4,42,cosine,0.9,0.8605916816926672
International Atomic Energy Agency (IAEA),11,9.80675960714833,0.7062782665517812,0.0851063829787234,1,6,cosine,0.9,0.8605916816926672
World Meteorological Organization (WMO),7,6.342174020975613,0.5415718111553185,0.04625346901017577,1,14,cosine,0.9,0.8605916816926672
Organisation for Economic Co-operation and Development (OECD),1,0.8607693689960585,0.011367487079537107,0.0,2,41,cosine,0.9,0.8605916816926672
 World Bank Group (WBG) ,2,1.7575519109066553,0.01673205435776516,0.0,4,40,cosine,0.9,0.8605916816926672
International Monetary Fund (IMF),0,0.0,0.0,0.0,6,43,cosine,0.9,0.8605916816926672
International Hydrographic Organization (IHO) ,6,5.4632887983084375,0.5210576016520172,0.005550416281221092,1,15,cosine,0.9,0.8605916816926672
 International Council for the Exploration of the Sea (ICES),11,9.708878912127107,0.9059979476947594,0.05550416281221092,1,3,cosine,0.9,0.8605916816926672
