IGO,EEI_z,LEF_z,SpatialScope_0_10,SubjectScope_0_10,LegalInstruments_0_10,Strategies_0_10,Objectives_0_10,InterInstitutionalRelations_0_10,VerticalCoordination_0_10,HorizontalCoordination_0_10,Embeddedness_0_10,AdaptiveCapacity_0_10,NicheSpecialisation_0_10,Age_2025_years,FoundingDensity_5yr_count,CumulativeStock_count
Climate Change Secretariat,-1.086930805755466,-0.26897500346414227,10.0,1.6666666666666665,2.5,4.0,0.0,5.0,0.0,2.5,1.3793103448275863,1.3636363636363638,6.083333333333333,33,7,36
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",-1.054723123708364,0.3608201265982397,0.0,3.333333333333333,2.5,8.0,3.333333333333333,6.666666666666666,5.0,5.0,5.172413793103447,6.363636363636365,6.333333333333333,32,8,37
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,1.497676115117498,1.3055128216918122,10.0,6.666666666666666,7.5,6.0,0.0,10.0,7.5,7.5,8.620689655172413,2.727272727272727,4.333333333333334,77,4,11
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),0.4651586523723836,-1.8434628286200958,7.777777777777778,3.333333333333333,5.0,4.0,3.333333333333333,6.666666666666666,5.0,10.0,7.2413793103448265,3.6363636363636376,5.388888888888889,33,7,36
Food and Agriculture Organization of the United Nations (FAO),1.4757326844576797,0.6757176916294302,10.0,6.666666666666666,5.0,6.0,5.0,6.666666666666666,7.5,7.5,7.2413793103448265,6.136363636363638,3.0833333333333335,80,5,7
IPCC,-1.520620626771206,0.6757176916294294,0.0,1.6666666666666665,7.5,6.0,0.0,5.0,2.5,5.0,3.4482758620689653,2.727272727272727,8.083333333333334,37,1,33
Intergovernmental Oceanographic Commission (IOC),1.5722267613986054,0.6757176916294302,10.0,6.666666666666666,7.5,8.0,3.333333333333333,10.0,5.0,7.5,7.586206896551724,6.363636363636365,2.999999999999999,65,4,16
International Atomic Energy Agency (IAEA),1.0493342616295307,0.3608201265982397,8.88888888888889,5.0,2.5,4.0,5.0,6.666666666666666,10.0,7.5,8.275862068965514,4.772727272727273,4.277777777777779,68,2,14
International Council for the Exploration of the Sea (ICES),0.22811891861321482,0.3608201265982397,6.666666666666666,0.0,5.0,4.0,5.0,8.333333333333334,5.0,5.0,5.862068965517242,4.772727272727273,6.083333333333334,123,1,2
International Fund for Agricultural Development (IFAD),-1.0785671531106604,0.9906152566606208,0.0,6.666666666666666,2.5,8.0,6.666666666666666,5.0,2.5,2.5,2.4137931034482754,8.636363636363637,4.666666666666667,49,2,30
International Hydrographic Organization (IHO),2.0803090717286663,0.04592256156704829,10.0,5.0,7.5,10.0,6.666666666666666,6.666666666666666,5.0,10.0,7.2413793103448265,10.0,2.083333333333334,104,2,4
International Labour Organization (ILO),0.6125732766815251,0.36082012659823887,8.88888888888889,5.0,7.5,4.0,3.333333333333333,6.666666666666666,0.0,7.5,4.137931034482757,3.6363636363636376,4.694444444444445,106,2,3
International Monetary Fund (IMF),0.393510605016025,-1.2136676985577148,8.88888888888889,8.333333333333334,7.5,4.0,6.666666666666666,3.333333333333333,2.5,2.5,1.7241379310344822,5.909090909090909,3.027777777777778,81,4,6
International Organization for Migration (IOM),0.22784763076890185,-0.5838725684953324,8.88888888888889,5.0,7.5,6.0,3.333333333333333,6.666666666666666,2.5,2.5,3.103448275862068,5.000000000000001,4.194444444444444,74,2,12
International Seabed Authority,-1.9167704549584135,-0.5838725684953336,1.1111111111111112,3.333333333333333,2.5,6.0,1.6666666666666665,3.333333333333333,5.0,0.0,1.7241379310344822,3.8636363636363633,6.972222222222221,31,8,40
International Telecommunication Union (ITU),-1.0558631435612187,0.3608201265982397,0.0,0.0,5.0,6.0,3.333333333333333,10.0,0.0,2.5,3.4482758620689653,5.000000000000001,7.666666666666666,160,1,1
International Trade Centre (ITC),0.22981757873930517,1.6204103867230026,0.0,3.333333333333333,7.5,4.0,3.333333333333333,8.333333333333334,10.0,10.0,10.0,3.6363636363636376,7.333333333333334,61,5,21
Minamata Convention on Mercury (Minamata),-1.4060046802133752,-1.8434628286200967,0.0,6.666666666666666,7.5,8.0,6.666666666666666,1.6666666666666665,0.0,2.5,0.0,8.636363636363637,4.666666666666667,12,3,48
Organisation for Economic Co-operation and Development (OECD),0.5104059124942995,-2.158360393651287,8.88888888888889,5.0,10.0,4.0,5.0,3.333333333333333,7.5,2.5,3.793103448275862,4.772727272727273,4.277777777777779,64,4,18
Ramsar Convention on Wetlands Secretariat (Ramsar),-0.2292269082863692,1.9353079517541933,3.333333333333333,6.666666666666666,7.5,8.0,0.0,8.333333333333334,2.5,5.0,4.827586206896552,4.090909090909092,5.5,54,4,26
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",1.0111040573171985,2.2502055167853845,8.88888888888889,3.333333333333333,7.5,10.0,6.666666666666666,10.0,2.5,7.5,6.551724137931033,10.0,2.7777777777777777,13,4,47
Secretariat of the Convention on Biological Diversity (CBD),0.20074316947623236,0.36082012659823887,10.0,3.333333333333333,5.0,6.0,10.0,5.0,2.5,2.5,2.4137931034482754,9.545454545454547,2.666666666666667,33,7,36
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),1.2663907834438175,0.9906152566606208,8.88888888888889,3.333333333333333,10.0,6.0,8.333333333333334,8.333333333333334,7.5,5.0,6.8965517241379315,8.40909090909091,3.3611111111111116,52,4,29
Secretariat of the Convention on Migratory Species (CMS),0.939281109624181,-0.26897500346414266,8.88888888888889,8.333333333333334,7.5,4.0,6.666666666666666,6.666666666666666,2.5,7.5,5.172413793103447,5.909090909090909,3.027777777777778,42,1,32
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),-0.6309842946800326,-1.8434628286200967,0.0,10.0,7.5,6.0,5.0,0.0,2.5,7.5,2.4137931034482754,6.136363636363638,4.75,31,8,40
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),0.8976635405768892,-0.5838725684953332,10.0,1.6666666666666665,7.5,8.0,5.0,8.333333333333334,5.0,7.5,6.8965517241379315,7.500000000000001,3.833333333333333,13,4,47
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),0.022534207172952358,0.6757176916294302,0.0,5.0,7.5,10.0,6.666666666666666,8.333333333333334,5.0,7.5,6.8965517241379315,10.0,4.583333333333334,15,3,45
UN Global Compact Office,0.2516658663311226,-1.2136676985577153,8.88888888888889,3.333333333333333,5.0,8.0,5.0,3.333333333333333,2.5,7.5,3.793103448275862,7.500000000000001,3.6944444444444446,25,2,44
UN Population Fund (UNFPA),-0.5786306053552851,0.36082012659823887,0.0,6.666666666666666,5.0,2.0,6.666666666666666,5.0,7.5,5.0,5.517241379310345,4.545454545454547,6.166666666666667,58,4,25
UN Research Institute for Social Development (UNRISD),-0.26752091841362785,-0.26897500346414227,0.0,5.0,5.0,0.0,6.666666666666666,5.0,7.5,10.0,7.586206896551724,3.1818181818181817,7.083333333333334,62,6,19
United Nations Children’s Fund (UNICEF),-0.3889410084695332,-0.26897500346414227,0.0,3.333333333333333,2.5,4.0,8.333333333333334,5.0,7.5,7.5,6.551724137931033,7.045454545454547,6.083333333333333,72,2,13
United Nations Conference on Trade and Development (UNCTAD),-2.1784901421739367,0.36082012659823887,0.0,1.6666666666666665,0.0,2.0,0.0,8.333333333333334,2.5,2.5,3.793103448275862,0.0,9.083333333333334,61,5,21
United Nations Development Programme (UNDP),0.9042339556819903,0.3608201265982397,7.777777777777778,8.333333333333334,5.0,6.0,3.333333333333333,8.333333333333334,7.5,5.0,6.8965517241379315,5.000000000000001,3.6388888888888884,60,7,22
