source,target,weight,similarity_metric,edge_threshold_quantile,edge_threshold_value
Intergovernmental Oceanographic Commission (IOC),Food and Agriculture Organization of the United Nations (FAO),0.8987360550098078,cosine,0.9,0.8605916816926672
Intergovernmental Oceanographic Commission (IOC),Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,0.8840962177466187,cosine,0.9,0.8605916816926672
Intergovernmental Oceanographic Commission (IOC),Climate Change Secretariat,0.8729235372894921,cosine,0.9,0.8605916816926672
Intergovernmental Oceanographic Commission (IOC),United Nations Environment Programme (UNEP),0.8688942086171584,cosine,0.9,0.8605916816926672
Intergovernmental Oceanographic Commission (IOC),United Nations Children’s Fund (UNICEF) ,0.9037889630036244,cosine,0.9,0.8605916816926672
Intergovernmental Oceanographic Commission (IOC),World Health Organization (WHO) ,0.9179873784350951,cosine,0.9,0.8605916816926672
Intergovernmental Oceanographic Commission (IOC), International Council for the Exploration of the Sea (ICES),0.893574445671608,cosine,0.9,0.8605916816926672
Intergovernmental Oceanographic Commission (IOC),IPCC,0.8754804003710556,cosine,0.9,0.8605916816926672
Intergovernmental Oceanographic Commission (IOC),World Trade Organization (WTO) ,0.8738230426874083,cosine,0.9,0.8605916816926672
Intergovernmental Oceanographic Commission (IOC),"International Organization for Migration (IOM)

",0.9090486897667485,cosine,0.9,0.8605916816926672
Intergovernmental Oceanographic Commission (IOC),UN Entity for Gender Equality and the Empowerment of Women (UN-Women),0.866016499307753,cosine,0.9,0.8605916816926672
Intergovernmental Oceanographic Commission (IOC),Minamata Convention on Mercury (Minamata),0.8725145477246988,cosine,0.9,0.8605916816926672
Intergovernmental Oceanographic Commission (IOC),United Nations Office for Outer Space Affairs (UNOOSA),0.8768179353713494,cosine,0.9,0.8605916816926672
Food and Agriculture Organization of the United Nations (FAO),Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,0.8843912676645296,cosine,0.9,0.8605916816926672
Food and Agriculture Organization of the United Nations (FAO),United Nations Office for Disaster Risk Reduction (UNDRR),0.8828400906962296,cosine,0.9,0.8605916816926672
Food and Agriculture Organization of the United Nations (FAO),World Trade Organization (WTO) ,0.8664961167107885,cosine,0.9,0.8605916816926672
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,International Seabed Authority,0.8677134397667474,cosine,0.9,0.8605916816926672
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,United Nations Children’s Fund (UNICEF) ,0.8917563734634703,cosine,0.9,0.8605916816926672
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,United Nations Office for Disaster Risk Reduction (UNDRR),0.8853420465136794,cosine,0.9,0.8605916816926672
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,International Atomic Energy Agency (IAEA),0.9040613542048362,cosine,0.9,0.8605916816926672
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,World Meteorological Organization (WMO),0.8815409264032013,cosine,0.9,0.8605916816926672
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,International Hydrographic Organization (IHO) ,0.8882139643711293,cosine,0.9,0.8605916816926672
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,World Trade Organization (WTO) ,0.9186510188700883,cosine,0.9,0.8605916816926672
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,Ramsar Convention on Wetlands Secretariat (Ramsar) ,0.8816828465409663,cosine,0.9,0.8605916816926672
Climate Change Secretariat,United Nations Environment Programme (UNEP),0.9157682501035556,cosine,0.9,0.8605916816926672
Climate Change Secretariat,International Labour Organization (ILO),0.8795544769733733,cosine,0.9,0.8605916816926672
Climate Change Secretariat, International Telecommunication Union (ITU),0.9106001024510435,cosine,0.9,0.8605916816926672
Climate Change Secretariat,IPCC,0.8675952803859568,cosine,0.9,0.8605916816926672
Climate Change Secretariat,World Tourism Organization/UN Tourism (UNWTO),0.8743468868131324,cosine,0.9,0.8605916816926672
Climate Change Secretariat,Secretariat of the United Nations Convention to Combat Desertification (UNCCD),0.8660865987673521,cosine,0.9,0.8605916816926672
International Seabed Authority,United Nations Conference on Trade and Development (UNCTAD),0.8729737054680926,cosine,0.9,0.8605916816926672
International Seabed Authority,International Atomic Energy Agency (IAEA),0.8740785799234135,cosine,0.9,0.8605916816926672
United Nations Environment Programme (UNEP),"United Nations Industrial Development Organization (UNIDO),",0.9035452033073575,cosine,0.9,0.8605916816926672
United Nations Environment Programme (UNEP),International Labour Organization (ILO),0.9171376937218341,cosine,0.9,0.8605916816926672
United Nations Environment Programme (UNEP), International Telecommunication Union (ITU),0.8905218525512202,cosine,0.9,0.8605916816926672
United Nations Environment Programme (UNEP),United Nations Children’s Fund (UNICEF) ,0.8845256919148919,cosine,0.9,0.8605916816926672
United Nations Environment Programme (UNEP),World Health Organization (WHO) ,0.8732910141061616,cosine,0.9,0.8605916816926672
United Nations Environment Programme (UNEP),World Tourism Organization/UN Tourism (UNWTO),0.8783492867862721,cosine,0.9,0.8605916816926672
