institution,ordinal_score_relationships,civil_society_engagement_within_igo,donor_partnerships_within_igo,intergovernmental_consultations_within_igo,ngo_engagement_within_igo,private_sector_partnerships_within_igo,regional_body_coordination_within_igo,scientific_community_linkages_within_igo,technical_or_expert_groups_within_igo,treaty_body_coordination_within_igo,un_system_collaboration_within_igo,civil_society_engagement_across_igo,donor_partnerships_across_igo,intergovernmental_consultations_across_igo,ngo_engagement_across_igo,private_sector_partnerships_across_igo,regional_body_coordination_across_igo,scientific_community_linkages_across_igo,technical_or_expert_groups_across_igo,treaty_body_coordination_across_igo,un_system_collaboration_across_igo
Intergovernmental Oceanographic Commission (IOC),8,1.666666666666667,1.666666666666667,1.666666666666667,3.333333333333333,0.0,0.0,1.666666666666667,1.666666666666667,1.666666666666667,10.0,1.666666666666667,1.666666666666667,1.666666666666667,3.333333333333333,0.0,0.0,1.666666666666667,1.666666666666667,1.666666666666667,10.0
Food and Agriculture Organization of the United Nations (FAO),6,5.0,2.5,2.5,2.5,0.0,0.0,7.5,2.5,2.5,10.0,3.333333333333333,1.666666666666667,1.666666666666667,1.666666666666667,0.0,0.0,5.0,1.666666666666667,1.666666666666667,6.666666666666666
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,8,1.666666666666667,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,1.666666666666667,1.666666666666667,1.666666666666667,10.0,1.666666666666667,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,1.666666666666667,1.666666666666667,1.666666666666667,10.0
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),6,0.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,1.666666666666667,0.0,0.0,0.0,1.666666666666667,1.666666666666667,1.666666666666667,1.666666666666667,1.666666666666667
Climate Change Secretariat,5,0.0,0.0,1.666666666666667,0.0,0.0,1.666666666666667,1.666666666666667,0.0,3.333333333333333,10.0,0.0,0.0,1.666666666666667,0.0,0.0,1.666666666666667,1.666666666666667,0.0,3.333333333333333,10.0
International Seabed Authority,4,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,10.0,0.0,0.0,3.333333333333333,0.0,0.0,3.333333333333333,0.0,0.0,1.666666666666667,8.333333333333334
United Nations Environment Programme (UNEP),5,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,10.0,1.666666666666667,1.666666666666667,0.0,0.0,0.0,1.666666666666667,0.0,0.0,1.666666666666667,8.333333333333334
United Nations Development Programme (UNDP),7,6.666666666666666,6.666666666666666,0.0,0.0,10.0,3.333333333333333,0.0,3.333333333333333,3.333333333333333,10.0,3.333333333333333,3.333333333333333,0.0,0.0,5.0,1.666666666666667,0.0,1.666666666666667,1.666666666666667,5.0
United Nations Conference on Trade and Development (UNCTAD),7,2.5,5.0,5.0,0.0,0.0,5.0,2.5,2.5,0.0,10.0,1.666666666666667,3.333333333333333,3.333333333333333,0.0,0.0,3.333333333333333,1.666666666666667,1.666666666666667,0.0,6.666666666666666
"United Nations Industrial Development Organization (UNIDO),",8,3.333333333333333,3.333333333333333,3.333333333333333,0.0,3.333333333333333,3.333333333333333,0.0,1.666666666666667,1.666666666666667,10.0,3.333333333333333,3.333333333333333,3.333333333333333,0.0,3.333333333333333,3.333333333333333,0.0,1.666666666666667,1.666666666666667,10.0
International Labour Organization (ILO),6,0.0,4.0,2.0,0.0,4.0,4.0,0.0,0.0,2.0,10.0,0.0,3.333333333333333,1.666666666666667,0.0,3.333333333333333,3.333333333333333,0.0,0.0,1.666666666666667,8.333333333333334
 International Telecommunication Union (ITU),8,2.0,0.0,2.0,0.0,2.0,2.0,2.0,4.0,2.0,10.0,1.666666666666667,0.0,1.666666666666667,0.0,1.666666666666667,1.666666666666667,1.666666666666667,3.333333333333333,1.666666666666667,8.333333333333334
United Nations Children’s Fund (UNICEF) ,5,1.666666666666667,3.333333333333333,0.0,0.0,0.0,1.666666666666667,0.0,0.0,1.666666666666667,10.0,1.666666666666667,3.333333333333333,0.0,0.0,0.0,1.666666666666667,0.0,0.0,1.666666666666667,10.0
World Health Organization (WHO) ,5,1.666666666666667,3.333333333333333,0.0,0.0,0.0,0.0,0.0,1.666666666666667,1.666666666666667,10.0,1.666666666666667,3.333333333333333,0.0,0.0,0.0,0.0,0.0,1.666666666666667,1.666666666666667,10.0
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",6,6.666666666666666,0.0,6.666666666666666,0.0,0.0,6.666666666666666,0.0,3.333333333333333,10.0,10.0,3.333333333333333,0.0,3.333333333333333,0.0,0.0,3.333333333333333,0.0,1.666666666666667,5.0,5.0
United Nations Office for Disaster Risk Reduction (UNDRR),8,5.0,0.0,2.5,0.0,5.0,2.5,2.5,5.0,2.5,10.0,3.333333333333333,0.0,1.666666666666667,0.0,3.333333333333333,1.666666666666667,1.666666666666667,3.333333333333333,1.666666666666667,6.666666666666666
UN Global Compact Office,4,2.5,0.0,0.0,0.0,5.0,2.5,0.0,0.0,0.0,10.0,1.666666666666667,0.0,0.0,0.0,3.333333333333333,1.666666666666667,0.0,0.0,0.0,6.666666666666666
International Atomic Energy Agency (IAEA),6,1.666666666666667,0.0,3.333333333333333,0.0,0.0,3.333333333333333,0.0,1.666666666666667,1.666666666666667,10.0,1.666666666666667,0.0,3.333333333333333,0.0,0.0,3.333333333333333,0.0,1.666666666666667,1.666666666666667,10.0
World Meteorological Organization (WMO),8,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,10.0,1.666666666666667,1.666666666666667,0.0,0.0,1.666666666666667,1.666666666666667,1.666666666666667,1.666666666666667,1.666666666666667,8.333333333333334
Organisation for Economic Co-operation and Development (OECD),4,0.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,3.333333333333333,0.0,0.0,0.0,1.666666666666667,0.0,0.0,1.666666666666667,1.666666666666667
 World Bank Group (WBG) ,6,6.666666666666666,10.0,0.0,0.0,6.666666666666666,0.0,3.333333333333333,3.333333333333333,0.0,3.333333333333333,3.333333333333333,5.0,0.0,0.0,3.333333333333333,0.0,1.666666666666667,1.666666666666667,0.0,1.666666666666667
International Monetary Fund (IMF),4,0.0,10.0,0.0,0.0,0.0,3.333333333333333,0.0,3.333333333333333,0.0,10.0,0.0,5.0,0.0,0.0,0.0,1.666666666666667,0.0,1.666666666666667,0.0,5.0
International Hydrographic Organization (IHO) ,6,1.666666666666667,0.0,3.333333333333333,0.0,0.0,1.666666666666667,1.666666666666667,1.666666666666667,0.0,10.0,1.666666666666667,0.0,3.333333333333333,0.0,0.0,1.666666666666667,1.666666666666667,1.666666666666667,0.0,10.0
 International Council for the Exploration of the Sea (ICES),7,2.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,10.0,1.666666666666667,3.333333333333333,3.333333333333333,0.0,0.0,1.666666666666667,1.666666666666667,0.0,1.666666666666667,8.333333333333334
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),7,10.0,5.0,0.0,10.0,0.0,5.0,5.0,0.0,5.0,10.0,3.333333333333333,1.666666666666667,0.0,3.333333333333333,0.0,1.666666666666667,1.666666666666667,0.0,1.666666666666667,3.333333333333333
IPCC,5,0.0,0.0,3.333333333333333,0.0,0.0,0.0,1.666666666666667,3.333333333333333,5.0,10.0,0.0,0.0,3.333333333333333,0.0,0.0,0.0,1.666666666666667,3.333333333333333,5.0,10.0
World Trade Organization (WTO) ,7,2.5,5.0,5.0,0.0,0.0,0.0,2.5,2.5,2.5,10.0,1.666666666666667,3.333333333333333,3.333333333333333,0.0,0.0,0.0,1.666666666666667,1.666666666666667,1.666666666666667,6.666666666666666
"International Organization for Migration (IOM)

",6,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,1.666666666666667,1.666666666666667,1.666666666666667,0.0,0.0,0.0,0.0,1.666666666666667,1.666666666666667,8.333333333333334
United Nations Office for Project Services (UNOPS),7,0.0,10.0,0.0,5.0,5.0,2.5,0.0,2.5,2.5,2.5,0.0,6.666666666666666,0.0,3.333333333333333,3.333333333333333,1.666666666666667,0.0,1.666666666666667,1.666666666666667,1.666666666666667
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),7,3.333333333333333,0.0,3.333333333333333,0.0,0.0,1.666666666666667,1.666666666666667,1.666666666666667,1.666666666666667,10.0,3.333333333333333,0.0,3.333333333333333,0.0,0.0,1.666666666666667,1.666666666666667,1.666666666666667,1.666666666666667,10.0
World Intellectual Property Organisation (WIPO),5,0.0,0.0,7.5,0.0,0.0,2.5,0.0,2.5,2.5,10.0,0.0,0.0,5.0,0.0,0.0,1.666666666666667,0.0,1.666666666666667,1.666666666666667,6.666666666666666
UN Population Fund (UNFPA),5,5.0,10.0,0.0,0.0,5.0,0.0,0.0,2.5,0.0,10.0,3.333333333333333,6.666666666666666,0.0,0.0,3.333333333333333,0.0,0.0,1.666666666666667,0.0,6.666666666666666
United Nations Human Settlements Programme (UN-Habitat),6,10.0,0.0,5.0,0.0,10.0,5.0,0.0,5.0,0.0,10.0,3.333333333333333,0.0,1.666666666666667,0.0,3.333333333333333,1.666666666666667,0.0,1.666666666666667,0.0,3.333333333333333
World Food Programme (WFP),3,0.0,7.5,0.0,0.0,0.0,7.5,0.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.666666666666666
World Tourism Organization/UN Tourism (UNWTO),5,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,10.0,0.0,1.666666666666667,1.666666666666667,0.0,0.0,3.333333333333333,0.0,0.0,1.666666666666667,8.333333333333334
UN Research Institute for Social Development (UNRISD),5,4.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,10.0,3.333333333333333,0.0,0.0,0.0,3.333333333333333,1.666666666666667,1.666666666666667,0.0,0.0,8.333333333333334
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)


",8,3.333333333333333,0.0,0.0,3.333333333333333,3.333333333333333,1.666666666666667,3.333333333333333,1.666666666666667,5.0,10.0,3.333333333333333,0.0,0.0,3.333333333333333,3.333333333333333,1.666666666666667,3.333333333333333,1.666666666666667,5.0,10.0
