institution,ordinal_score_spatial_jurisdiction,archipelago_within_igo,coastal_zone_within_igo,contiguous_zone_cz_within_igo,enclosed_or_semi_enclosed_sea_within_igo,exclusive_economic_zone_eez_within_igo,extended_continental_shelf_cs_within_igo,high_seas_within_igo,Internal waters_WithinIGO,territorial_sea_ts_within_igo,the_area_within_igo,archipelago_across_igo,coastal_zone_across_igo,contiguous_zone_cz_across_igo,enclosed_or_semi_enclosed_sea_across_igo,exclusive_economic_zone_eez_across_igo,extended_continental_shelf_cs_across_igo,high_seas_across_igo,Internal waters_AcrossIGO,territorial_sea_ts_across_igo,the_area_across_igo
Intergovernmental Oceanographic Commission (IOC),9,4.444444444444445,3.333333333333333,0,5.555555555555555,0,0,10,0.0,0,0,3.636363636363637,2.727272727272727,0,4.545454545454545,0,0,8.181818181818182,0.0,0,0
Food and Agriculture Organization of the United Nations (FAO),9,4.444444444444445,3.333333333333333,0,5.555555555555555,0,0,10,2.222222222222222,0,0,3.636363636363637,2.727272727272727,0,4.545454545454545,0,0,8.181818181818182,1.818181818181818,0,0
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,9,4.444444444444445,3.333333333333333,0,5.555555555555555,0,0,10,2.222222222222222,0,0,3.636363636363637,2.727272727272727,0,4.545454545454545,0,0,8.181818181818182,1.818181818181818,0,0
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),7,4.444444444444445,0.0,0,5.555555555555555,0,0,10,0.0,0,0,3.636363636363637,0.0,0,4.545454545454545,0,0,8.181818181818182,0.0,0,0
Climate Change Secretariat,9,4.444444444444445,3.333333333333333,0,5.555555555555555,0,0,10,2.222222222222222,0,0,3.636363636363637,2.727272727272727,0,4.545454545454545,0,0,8.181818181818182,1.818181818181818,0,0
International Seabed Authority,1,0.0,0.0,0,0.0,0,0,0,0.0,0,10,0.0,0.0,0,0.0,0,0,0.0,0.0,0,10
United Nations Environment Programme (UNEP),8,8.0,8.0,0,10.0,0,0,0,4.0,0,0,3.636363636363637,3.636363636363637,0,4.545454545454545,0,0,0.0,1.818181818181818,0,0
United Nations Development Programme (UNDP),7,8.0,6.0,0,10.0,0,0,0,0.0,0,0,3.636363636363637,2.727272727272727,0,4.545454545454545,0,0,0.0,0.0,0,0
United Nations Conference on Trade and Development (UNCTAD),0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0
"United Nations Industrial Development Organization (UNIDO),",8,8.0,6.0,0,10.0,0,0,0,4.0,0,0,3.636363636363637,2.727272727272727,0,4.545454545454545,0,0,0.0,1.818181818181818,0,0
International Labour Organization (ILO),8,4.444444444444445,0.0,0,5.555555555555555,0,0,10,2.222222222222222,0,0,3.636363636363637,0.0,0,4.545454545454545,0,0,8.181818181818182,1.818181818181818,0,0
 International Telecommunication Union (ITU),0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0
United Nations Children’s Fund (UNICEF) ,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0
World Health Organization (WHO) ,0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0
United Nations Office for Disaster Risk Reduction (UNDRR),8,8.0,8.0,0,10.0,0,0,0,4.0,0,0,3.636363636363637,3.636363636363637,0,4.545454545454545,0,0,0.0,1.818181818181818,0,0
UN Global Compact Office,8,4.444444444444445,0.0,0,5.555555555555555,0,0,10,2.222222222222222,0,0,3.636363636363637,0.0,0,4.545454545454545,0,0,8.181818181818182,1.818181818181818,0,0
International Atomic Energy Agency (IAEA),8,4.444444444444445,0.0,0,5.555555555555555,0,0,10,2.222222222222222,0,0,3.636363636363637,0.0,0,4.545454545454545,0,0,8.181818181818182,1.818181818181818,0,0
World Meteorological Organization (WMO),9,4.444444444444445,3.333333333333333,0,5.555555555555555,0,0,10,2.222222222222222,0,0,3.636363636363637,2.727272727272727,0,4.545454545454545,0,0,8.181818181818182,1.818181818181818,0,0
