institution,ordinal_score_strategies,capacity_development_operational_delivery_within_igo,collaboration_partnerships_networks_within_igo,environmental_climate_biodiversity_action_within_igo,financial_and_budgetary_management_within_igo,inclusion_rights_social_justice_within_igo,innovation_technology_development_within_igo,knowledge_research_data_systems_within_igo,monitoring_evaluation_accountability_within_igo,policy_regulation_legal_frameworks_within_igo,strategic_and_institutional_planning_within_igo,capacity_development_operational_delivery_across_igo,collaboration_partnerships_networks_across_igo,environmental_climate_biodiversity_action_across_igo,financial_and_budgetary_management_across_igo,inclusion_rights_social_justice_across_igo,innovation_technology_development_across_igo,knowledge_research_data_systems_across_igo,monitoring_evaluation_accountability_across_igo,policy_regulation_legal_frameworks_across_igo,strategic_and_institutional_planning_across_igo
Intergovernmental Oceanographic Commission (IOC),6,10.0,3.333333333333333,3.333333333333333,3.333333333333333,0.0,3.333333333333333,0.0,0.0,0.0,10.0,5.0,1.666666666666667,1.666666666666667,1.666666666666667,0.0,1.666666666666667,0.0,0.0,0.0,5.0
Food and Agriculture Organization of the United Nations (FAO),7,3.333333333333333,10.0,6.666666666666666,10.0,0.0,6.666666666666666,0.0,0.0,6.666666666666666,10.0,1.666666666666667,5.0,3.333333333333333,5.0,0.0,3.333333333333333,0.0,0.0,3.333333333333333,5.0
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,4,0.0,0.0,6.0,4.0,0.0,2.0,0.0,0.0,4.0,10.0,0.0,0.0,5.0,3.333333333333333,0.0,1.666666666666667,0.0,0.0,3.333333333333333,8.333333333333334
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),6,0.0,0.0,6.666666666666666,0.0,0.0,3.333333333333333,6.666666666666666,6.666666666666666,10.0,10.0,0.0,0.0,3.333333333333333,0.0,0.0,1.666666666666667,3.333333333333333,3.333333333333333,5.0,5.0
Climate Change Secretariat,4,5.0,0.0,0.0,7.5,0.0,7.5,0.0,0.0,2.5,10.0,3.333333333333333,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.666666666666667,6.666666666666666
International Seabed Authority,5,5.0,0.0,0.0,2.5,0.0,0.0,5.0,0.0,5.0,10.0,3.333333333333333,0.0,0.0,1.666666666666667,0.0,0.0,3.333333333333333,0.0,3.333333333333333,6.666666666666666
United Nations Environment Programme (UNEP),8,4.0,6.0,10.0,4.0,0.0,2.0,4.0,0.0,4.0,6.0,3.333333333333333,5.0,8.333333333333334,3.333333333333333,0.0,1.666666666666667,3.333333333333333,0.0,3.333333333333333,5.0
United Nations Development Programme (UNDP),6,0.0,4.0,4.0,6.0,4.0,6.0,0.0,0.0,2.0,10.0,0.0,3.333333333333333,3.333333333333333,5.0,3.333333333333333,5.0,0.0,0.0,1.666666666666667,8.333333333333334
United Nations Conference on Trade and Development (UNCTAD),4,0.0,6.666666666666666,0.0,6.666666666666666,0.0,3.333333333333333,0.0,0.0,0.0,10.0,0.0,3.333333333333333,0.0,3.333333333333333,0.0,1.666666666666667,0.0,0.0,0.0,5.0
"United Nations Industrial Development Organization (UNIDO),",6,6.666666666666666,10.0,0.0,3.333333333333333,10.0,10.0,0.0,0.0,3.333333333333333,10.0,3.333333333333333,5.0,0.0,1.666666666666667,5.0,5.0,0.0,0.0,1.666666666666667,5.0
International Labour Organization (ILO),6,0.0,5.0,0.0,5.0,2.5,2.5,0.0,0.0,5.0,10.0,0.0,3.333333333333333,0.0,3.333333333333333,1.666666666666667,1.666666666666667,0.0,0.0,3.333333333333333,6.666666666666666
 International Telecommunication Union (ITU),6,0.0,10.0,0.0,5.0,0.0,7.5,2.5,0.0,7.5,7.5,0.0,6.666666666666666,0.0,3.333333333333333,0.0,5.0,1.666666666666667,0.0,5.0,5.0
United Nations Children’s Fund (UNICEF) ,9,3.333333333333333,3.333333333333333,0.0,1.666666666666667,5.0,5.0,6.666666666666666,5.0,3.333333333333333,10.0,3.333333333333333,3.333333333333333,0.0,1.666666666666667,5.0,5.0,6.666666666666666,5.0,3.333333333333333,10.0
World Health Organization (WHO) ,6,6.666666666666666,0.0,0.0,10.0,0.0,6.666666666666666,6.666666666666666,6.666666666666666,6.666666666666666,6.666666666666666,3.333333333333333,0.0,0.0,5.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",6,6.666666666666666,0.0,0.0,3.333333333333333,10.0,6.666666666666666,6.666666666666666,0.0,3.333333333333333,6.666666666666666,3.333333333333333,0.0,0.0,1.666666666666667,5.0,3.333333333333333,3.333333333333333,0.0,1.666666666666667,3.333333333333333
United Nations Office for Disaster Risk Reduction (UNDRR),6,5.0,0.0,0.0,5.0,0.0,5.0,7.5,10.0,2.5,5.0,3.333333333333333,0.0,0.0,3.333333333333333,0.0,3.333333333333333,5.0,6.666666666666666,1.666666666666667,3.333333333333333
UN Global Compact Office,7,0.0,4.0,4.0,0.0,6.0,4.0,0.0,4.0,4.0,10.0,0.0,3.333333333333333,3.333333333333333,0.0,5.0,3.333333333333333,0.0,3.333333333333333,3.333333333333333,8.333333333333334
International Atomic Energy Agency (IAEA),7,4.0,4.0,4.0,4.0,0.0,6.0,0.0,0.0,4.0,10.0,3.333333333333333,3.333333333333333,3.333333333333333,3.333333333333333,0.0,5.0,0.0,0.0,3.333333333333333,8.333333333333334
World Meteorological Organization (WMO),7,6.0,0.0,4.0,4.0,0.0,8.0,10.0,6.0,4.0,6.0,5.0,0.0,3.333333333333333,3.333333333333333,0.0,6.666666666666666,8.333333333333334,5.0,3.333333333333333,5.0
Organisation for Economic Co-operation and Development (OECD),7,3.333333333333333,0.0,3.333333333333333,6.666666666666666,0.0,10.0,3.333333333333333,0.0,6.666666666666666,6.666666666666666,1.666666666666667,0.0,1.666666666666667,3.333333333333333,0.0,5.0,1.666666666666667,0.0,3.333333333333333,3.333333333333333
