institution,ordinal_score_subject_matter,biodiversity_ecosystem_conservation_within_igo,cultural_heritage_traditional_knowledge_data_governance_within_igo,disaster_risk_reduction_resilience_within_igo,environmental_protection_climate_change_within_igo,human_rights_social_justice_advocacy_within_igo,international_cooperation_governance_within_igo,research_science_innovation_within_igo,security_safety_within_igo,sustainable_development_capacity_building_within_igo,trade_investment_economic_cooperation_within_igo,biodiversity_ecosystem_conservation_across_igo,cultural_heritage_traditional_knowledge_data_governance_across_igo,disaster_risk_reduction_resilience_across_igo,environmental_protection_climate_change_across_igo,human_rights_social_justice_advocacy_across_igo,international_cooperation_governance_across_igo,research_science_innovation_across_igo,security_safety_across_igo,sustainable_development_capacity_building_across_igo,trade_investment_economic_cooperation_across_igo
Intergovernmental Oceanographic Commission (IOC),6,3.333333333333333,0,0.0,8.333333333333334,0.0,3.333333333333333,10.0,0.0,3.333333333333333,0.0,3.333333333333333,0.0,0.0,8.333333333333334,0.0,3.333333333333333,10.0,0.0,3.333333333333333,0.0
Food and Agriculture Organization of the United Nations (FAO),6,10.0,0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,1.666666666666667,0.0,0.0,1.666666666666667,0.0,1.666666666666667,1.666666666666667,0.0,1.666666666666667,0.0
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,6,0.0,0,0.0,4.0,0.0,2.0,6.0,10.0,4.0,4.0,0.0,0.0,0.0,3.333333333333333,0.0,1.666666666666667,5.0,8.333333333333334,3.333333333333333,3.333333333333333
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),4,10.0,0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,3.333333333333333,0.0,0.0,3.333333333333333,0.0,0.0,0.0,0.0,1.666666666666667,0.0
Climate Change Secretariat,3,0.0,0,0.0,6.666666666666666,0.0,10.0,0.0,0.0,3.333333333333333,0.0,0.0,0.0,0.0,3.333333333333333,0.0,5.0,0.0,0.0,1.666666666666667,0.0
International Seabed Authority,4,0.0,0,0.0,4.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333333,0.0,3.333333333333333,8.333333333333334,0.0,0.0,0.0
United Nations Environment Programme (UNEP),5,5.0,0,0.0,10.0,0.0,7.5,5.0,0.0,5.0,0.0,3.333333333333333,0.0,0.0,6.666666666666666,0.0,5.0,3.333333333333333,0.0,3.333333333333333,0.0
United Nations Development Programme (UNDP),7,5.0,0,5.0,10.0,7.5,2.5,0.0,0.0,5.0,2.5,3.333333333333333,0.0,3.333333333333333,6.666666666666666,5.0,1.666666666666667,0.0,0.0,3.333333333333333,1.666666666666667
United Nations Conference on Trade and Development (UNCTAD),3,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333333,0.0,6.666666666666666,8.333333333333334
"United Nations Industrial Development Organization (UNIDO),",4,0.0,0,0.0,5.0,0.0,5.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,3.333333333333333,0.0,3.333333333333333,3.333333333333333,0.0,6.666666666666666,0.0
