institution,ordinal_score_vertical,data_integration_systems_within_igo,global_regional_national_coordination_within_igo,Intergovernmental to National Institutions_WithinIGO,multi_level_planning_structures_within_igo,policy_alignment_with_national_plans_within_igo,regional_implementing_partners_within_igo,reporting_compliance_mechanisms_within_igo,Sectoral-to-National Coordination_WithinIGO,technical_assistance_to_states_within_igo,UN to Member States_WithinIGO,data_integration_systems_across_igo,global_regional_national_coordination_across_igo,Intergovernmental to National Institutions_AcrossIGO,multi_level_planning_structures_across_igo,policy_alignment_with_national_plans_across_igo,regional_implementing_partners_across_igo,reporting_compliance_mechanisms_across_igo,Sectoral-to-National Coordination_AcrossIGO,technical_assistance_to_states_across_igo,UN to Member States_AcrossIGO
Intergovernmental Oceanographic Commission (IOC),6,0.0,3.333333333333333,3.333333333333333,3.333333333333333,0.0,3.333333333333333,0.0,0.0,3.333333333333333,10.0,0,2,2,2,0,2,0,0,2,6
Food and Agriculture Organization of the United Nations (FAO),7,0.0,5.0,5.0,5.0,5.0,10.0,0.0,0.0,10.0,10.0,0,2,2,2,2,4,0,0,4,4
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,7,0.0,2.0,2.0,2.0,0.0,4.0,0.0,2.0,10.0,6.0,0,2,2,2,0,4,0,2,10,6
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),6,0.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,10.0,4.0,0,2,2,0,0,0,4,2,10,4
Climate Change Secretariat,4,0.0,5.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0,2,2,0,0,4,0,0,0,4
International Seabed Authority,6,0.0,3.333333333333333,3.333333333333333,3.333333333333333,0.0,6.666666666666666,0.0,0.0,10.0,6.666666666666666,0,2,2,2,0,4,0,0,6,4
United Nations Environment Programme (UNEP),5,0.0,5.0,5.0,5.0,0.0,10.0,0.0,0.0,0.0,10.0,0,2,2,2,0,4,0,0,0,4
United Nations Development Programme (UNDP),7,0.0,5.0,5.0,5.0,5.0,10.0,5.0,0.0,0.0,10.0,0,2,2,2,2,4,2,0,0,4
United Nations Conference on Trade and Development (UNCTAD),5,0.0,3.333333333333333,3.333333333333333,0.0,0.0,6.666666666666666,0.0,0.0,6.666666666666666,10.0,0,2,2,0,0,4,0,0,4,6
"United Nations Industrial Development Organization (UNIDO),",5,0.0,5.0,5.0,5.0,0.0,10.0,0.0,0.0,0.0,10.0,0,2,2,2,0,4,0,0,0,4
International Labour Organization (ILO),4,0.0,5.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0,2,2,0,0,4,0,0,0,4
 International Telecommunication Union (ITU),4,0.0,5.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0,2,2,0,0,4,0,0,0,4
United Nations Children’s Fund (UNICEF) ,7,0.0,5.0,5.0,5.0,0.0,10.0,5.0,0.0,10.0,10.0,0,2,2,2,0,4,2,0,4,4
World Health Organization (WHO) ,5,0.0,3.333333333333333,3.333333333333333,0.0,3.333333333333333,6.666666666666666,0.0,0.0,0.0,10.0,0,2,2,0,2,4,0,0,0,6
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",6,0.0,2.5,2.5,0.0,2.5,5.0,7.5,0.0,0.0,10.0,0,2,2,0,2,4,6,0,0,8
United Nations Office for Disaster Risk Reduction (UNDRR),7,0.0,3.333333333333333,3.333333333333333,3.333333333333333,0.0,6.666666666666666,0.0,3.333333333333333,10.0,6.666666666666666,0,2,2,2,0,4,0,2,6,4
UN Global Compact Office,5,0.0,5.0,0.0,0.0,5.0,5.0,10.0,0.0,0.0,5.0,0,2,0,0,2,2,4,0,0,2
International Atomic Energy Agency (IAEA),8,0.0,2.5,2.5,0.0,2.5,2.5,5.0,2.5,10.0,7.5,0,2,2,0,2,2,4,2,8,6
World Meteorological Organization (WMO),5,0.0,2.5,2.5,0.0,0.0,0.0,5.0,0.0,10.0,5.0,0,2,2,0,0,0,4,0,8,4
